,date,weekend,driving,transit,walking,cases,deaths,total_boosters,total tweet count
0,2021-11-15,0,155.02124168514405,99.52131944444443,161.0484973166367,47185415,763425,34254930,34035.0
1,2021-11-16,0,157.08669179600878,99.77461805555555,168.144937388193,47275900,764871,35254044,34372.0
2,2021-11-17,0,158.8337915742793,100.05468750000013,171.35177101967813,47390257,766489,36304204,34927.0
3,2021-11-18,0,169.83600886917978,102.9686458333333,180.04792486583182,47500530,769719,37381979,32380.0
4,2021-11-19,0,208.32692239467838,113.33128472222226,219.9291413237929,47620178,771721,38641212,39943.0
5,2021-11-20,1,200.2379778270503,104.58336805555555,240.9469946332736,47661242,772046,39295976,30262.0
6,2021-11-21,1,153.72791130820386,84.45972222222218,152.10064400715535,47692614,772169,39662837,29197.0
7,2021-11-22,0,169.5923458980044,102.24135416666675,172.2612701252236,47851512,773402,40782210,31329.0
8,2021-11-23,0,188.86055432372484,105.33993055555554,183.3947584973167,47944283,774880,41879231,30191.0
9,2021-11-24,0,208.92686031042084,102.26118055555553,198.79881932021476,48064175,776516,42680064,29082.0
10,2021-11-25,0,126.28955210643001,62.12840277777779,98.7874597495529,48095028,776893,42692451,24437.0
11,2021-11-26,0,185.58490465631922,90.79298611111118,195.03044722719122,48146553,777437,43388524,87143.0
12,2021-11-27,1,194.03079379157444,90.95326388888884,199.6562611806797,48171232,777629,43847084,225228.0
13,2021-11-28,1,181.04823946784953,85.46114583333332,133.69268336314846,48195182,777750,44136777,230145.0
14,2021-11-29,0,154.462017738359,98.78003472222218,158.31248658318432,48411494,779624,45055771,299908.0
15,2021-11-30,0,154.1427716186251,98.57565972222217,165.81833631484778,48520788,781183,46146962,256423.0
16,2021-12-01,0,154.33801773835967,98.3656597222222,172.81543828264756,48660103,783149,47373500,226220.0
17,2021-12-02,0,158.1194944567628,97.12246527777774,176.64613595706615,48798815,784506,48644617,210506.0
18,2021-12-03,0,193.99249667405746,109.68118055555553,227.3771377459751,48952060,786667,50047914,191989.0
19,2021-12-04,1,186.06685144124134,101.49527777777774,242.97223613595713,49010204,787157,50747779,137337.0
20,2021-12-05,1,137.94521951219502,81.3623263888889,148.2740966010731,49044777,787318,51105061,117294.0
21,2021-12-06,0,149.2846962305988,97.75500000000001,161.6937567084079,49242221,788660,52171537,132440.0
22,2021-12-07,0,153.2163192904657,97.87538194444444,166.371878354204,49356218,790434,53290683,135203.0
23,2021-12-08,0,155.26952106430173,98.4336111111111,169.54209302325583,49505263,792313,54408662,182276.0
24,2021-12-09,0,166.33932150776096,99.82708333333328,177.7400178890876,49628768,793608,55538813,141924.0
25,2021-12-10,0,194.23953436807065,110.0764236111112,217.382969588551,49793830,795711,56768329,130285.0
26,2021-12-11,1,187.84739246119736,99.87427083333333,228.52234347048307,49845175,796127,57394676,121889.0
27,2021-12-12,1,144.62237694013274,81.57677083333336,151.75550983899834,49881531,796322,57730448,146123.0
28,2021-12-13,0,157.50269623059864,97.0082638888889,164.08703041144895,50084414,797611,58681335,199433.0
29,2021-12-14,0,161.1619068736141,96.08010416666664,168.38071556350621,50201273,799345,59698563,200719.0
30,2021-12-15,0,165.76531707317045,98.52059027777786,177.98779964221814,50346549,801438,60728329,221190.0
31,2021-12-16,0,177.97044789357005,102.03524305555557,188.29121645796081,50492868,802601,61808583,218010.0
32,2021-12-17,0,211.33897560975615,108.5697222222222,222.49134168157423,50662843,804669,62995400,231536.0
33,2021-12-18,1,199.33019068736138,95.45749999999998,219.76733452593925,50738676,805171,63635380,218780.0
34,2021-12-19,1,155.9150421286033,80.51701388888893,153.48161001788918,50811155,805334,64007615,190583.0
35,2021-12-20,0,176.703977827051,95.08013888888895,182.40937388193214,51114054,806753,65120565,262628.0
36,2021-12-21,0,178.77409756097578,92.74843750000001,184.09906976744205,51303525,808841,66316122,306197.0
37,2021-12-22,0,188.49799556541038,91.08090277777782,190.87407871198562,51547217,810927,67429820,274192.0
38,2021-12-23,0,194.76512195121956,88.60517361111113,195.38309481216479,51812432,814211,68292527,234710.0
39,2021-12-24,0,137.66741019955668,67.10763888888889,143.12352415026817,51996357,815213,68502126,173690.0
40,2021-12-25,1,101.28980931263844,47.61427083333333,78.29626118067978,52054705,815312,68505090,94369.0
41,2021-12-26,1,170.00522838137465,74.61642361111119,131.82479427549194,52244419,815391,68755338,110927.0
42,2021-12-27,0,187.4317117516628,88.52927083333336,166.06157423971393,52787959,817134,69605932,154536.0
43,2021-12-28,0,184.3504745011088,89.10305555555563,173.22996422182473,53168671,819630,70557723,175586.0
44,2021-12-29,0,185.72209756097584,87.27315972222225,176.08976744186052,53657735,821731,71493104,193003.0
45,2021-12-30,0,195.87226164079792,88.22409722222221,184.14209302325574,54242790,823141,72344520,198899.0
46,2021-12-31,0,173.03085144124202,80.17059027777778,193.16500894454393,54689357,824336,72675963,165832.0
47,2022-01-01,1,133.80717960088685,64.05513888888892,128.57021466905184,54850417,824609,72722826,101347.0
48,2022-01-02,1,145.1679290465632,71.6323958333333,122.83404293381045,55137054,824841,72978045,113775.0
49,2022-01-03,0,150.55742350332582,85.76885416666661,145.07178890876557,56155989,826491,73632216,159769.0
50,2022-01-04,0,153.27405321507734,87.78788194444436,149.4678711985687,57041895,828853,74401852,195682.0
51,2022-01-05,0,148.59876274944557,87.32097222222224,149.681556350626,57745959,830981,75194408,186612.0
52,2022-01-06,0,148.48008869179614,85.40072916666664,151.18330948121647,58505177,832953,76009916,166984.0
53,2022-01-07,0,164.32314855875845,86.38131944444439,165.60359570661888,59405224,835637,76922595,164822.0
54,2022-01-08,1,164.06964079822586,82.6928124999999,175.8551520572451,59851464,836327,77465922,138072.0
55,2022-01-09,1,126.97544124168547,71.88805555555554,125.24212880143098,60166922,836728,77727160,124393.0
56,2022-01-10,0,143.3363902439024,89.43041666666664,154.93093023255818,61600899,838412,78396300,147606.0
57,2022-01-11,0,146.46354323725063,87.75979166666667,154.39989266547414,62370827,841092,79090576,156025.0
58,2022-01-12,0,147.30465631929025,89.3667361111111,156.1823613595707,63251101,843823,79782071,155157.0
59,2022-01-13,0,156.23168070953443,90.48829861111118,162.22254025044717,64120516,846110,80459805,143372.0
60,2022-01-14,0,180.5242128603105,95.60260416666668,187.642182468694,65053765,849101,81268224,120123.0
61,2022-01-15,1,163.3251219512195,85.10479166666659,187.1086225402506,65476992,850099,81688088,89628.0
62,2022-01-16,1,120.70651441241672,72.70097222222222,130.43590339892665,65814876,850509,81893013,86878.0
63,2022-01-17,0,139.60906873614184,85.23263888888894,140.8322003577817,66526927,851283,82304313,95806.0
64,2022-01-18,0,144.6021286031041,93.49243055555556,158.72926654740613,67705330,854268,82772096,106428.0
65,2022-01-19,0,143.9975210643017,92.7735069444445,157.80753130590332,68557114,857644,83210884,110509.0
66,2022-01-20,0,146.61390687361444,89.87114583333337,152.72432915921283,69305598,860316,83589360,101315.0
67,2022-01-21,0,169.26049223946765,95.2745833333334,179.10812164579616,70130650,864182,84007599,102107.0
