,Unnamed: 0,date,weekend,driving,transit,walking,cases,deaths,boosters,tweets,driving_log,transit_log,walking_log,cases_log,deaths_log,boosters_log,tweets_log,walking_box_cox
15,15,2021-11-25,0.0,126.28955210643,62.12840277777779,165.81833631484778,48520788,781183,46146962,256423.0,4.838577303103607,4.1292032559997445,4.592970671086272,17.697502882633717,13.56856471635515,17.647341687927256,12.45458370359367,113.37290316775321
16,16,2021-11-26,0.0,185.5849046563192,90.79298611111118,172.81543828264756,48660103,783149,47373500,226220.0,5.2235124843737255,4.508582037151319,5.273155686001846,17.70037001204573,13.5710782506114,17.673573558596473,12.329263256085373,231.05959082688014
17,17,2021-11-27,1.0,194.03079379157444,90.95326388888884,176.64613595706615,48798815,784506,48644617,210506.0,5.268016877351319,4.510345790949016,5.296597193802263,17.703216587741657,13.572809499309534,17.70005171299239,12.2572694352613,236.78811683344622
18,18,2021-11-28,1.0,181.04823946784956,85.46114583333332,227.3771377459751,48952060,786667,50047914,191989.0,5.198763512153599,4.448061837958119,4.895543758325865,17.706352009814236,13.575560312062407,17.72849138453526,12.165193357702021,155.67699044161623
19,19,2021-11-29,0.0,154.462017738359,98.78003472222218,242.97223613595716,49010204,787157,50747779,137337.0,5.039948226233052,4.592895506623069,5.064570843012956,17.7075390792929,13.576182999244496,17.742378411381722,11.830193038336267,185.79495005413148
20,20,2021-11-30,0.0,154.1427716186251,98.57565972222216,148.2740966010731,49044777,787318,51105061,117294.0,5.037879261365203,4.590824372332948,5.110892829558787,17.708244255125482,13.576387511860526,17.749394091365577,11.672438882438174,195.0162722685837
21,21,2021-12-01,0.0,154.33801773835967,98.3656597222222,161.6937567084079,49242221,788660,52171537,132440.0,5.039145117473866,4.588691756585443,5.152224194292674,17.7122619638685,13.578090581731256,17.770047635940866,11.793884991661182,203.62781388699725
22,22,2021-12-02,0.0,158.1194944567628,97.12246527777774,166.371878354204,49356218,790434,53290683,135203.0,5.063351041210894,4.575972710821167,5.174148499561194,17.714574313880345,13.580337440684957,17.791272070854372,11.814532631693933,208.3483838553777
23,23,2021-12-03,0.0,193.99249667405743,109.68118055555551,169.54209302325583,49505263,792313,54408662,182276.0,5.267819481377508,4.697577798831758,5.4266100386455465,17.717589545119328,13.582711794745014,17.812033927091925,12.113277300875465,271.2258204630559
24,24,2021-12-04,1.0,186.0668514412413,101.49527777777774,177.7400178890876,49628768,793608,55538813,141924.0,5.2261060254893765,4.620012273042681,5.492947182228458,17.720081223560165,13.584344915547153,17.832592667630387,11.863046982039117,290.6759090720421
25,25,2021-12-05,1.0,137.94521951219502,81.3623263888889,217.382969588551,49793830,795711,56768329,130285.0,4.926856646291147,4.398912345098582,4.9990625649803695,17.72340163873686,13.586991333575714,17.854489140153195,11.777479637529986,173.49004729598275
26,26,2021-12-06,0.0,149.2846962305988,97.755,228.5223434704831,49845175,796127,57394676,121889.0,5.005855195812394,4.582464348452453,5.085704155500049,17.72443225931652,13.587513999838826,17.865462104374764,11.71086607349776,189.94687392947853
27,27,2021-12-07,0.0,153.2163192904657,97.87538194444444,151.75550983899834,49881531,796322,57730448,146123.0,5.031850774417061,4.583695056673156,5.114225513829736,17.725161371969865,13.58775890564237,17.8712952872703,11.892204011768813,195.69700551675984
28,28,2021-12-08,0.0,155.26952106430173,98.4336111111111,164.08703041144895,50084414,797611,58681335,199433.0,5.045162452453651,4.589382322066723,5.1331012324105085,17.729220419849742,13.589376288908788,17.887632261491515,12.20323361930631,199.5974189015967
29,29,2021-12-09,0.0,166.33932150776096,99.82708333333328,168.3807155635062,50201273,799345,59698563,200719.0,5.11402980748405,4.6034395225870925,5.180321908957829,17.73155094290617,13.591547921291221,17.904818507721377,12.209661198963326,209.6971392160788
30,30,2021-12-10,0.0,194.23953436807065,110.0764236111112,177.98779964221814,50346549,801438,60728329,221190.0,5.269092110669283,4.701174884659355,5.38166063485943,17.734440634561388,13.594162893080245,17.921920852263856,12.306777339651806,258.7892989731908
31,31,2021-12-11,1.0,187.84739246119736,99.87427083333333,188.2912164579608,50492868,802601,61808583,218010.0,5.235629890961152,4.60391210326713,5.431633988794416,17.73734265654924,13.595612982764838,17.939552796279646,12.29229621227879,272.6523205801685
32,32,2021-12-12,1.0,144.62237694013274,81.57677083333336,222.49134168157423,50662843,804669,62995400,231536.0,4.974126048375346,4.401544550283405,5.022270737939432,17.740703320189393,13.59818629171875,17.958572265817,12.352490647977774,177.75380475918317
33,33,2021-12-13,0.0,157.50269623059864,97.0082638888889,219.76733452593925,50738676,805171,63635380,218780.0,5.059442577043597,4.574796169605332,5.100396960307492,17.74219901798337,13.598809956202514,17.96868016294699,12.295821937673782,192.88774690713697
34,34,2021-12-14,0.0,161.1619068736141,96.08010416666664,153.48161001788918,50811155,805334,64007615,190583.0,5.082409492429953,4.565182261937113,5.126227579594669,17.743626475057273,13.59901237718296,17.974512618620867,12.15784307419921,198.16819478847006
35,35,2021-12-15,0.0,165.76531707317045,98.52059027777786,182.4093738819321,51114054,806753,65120565,262628.0,5.110573035494228,4.590265564685645,5.181715006607167,17.7495700467145,13.600772828531403,17.991750955910845,12.4784938612139,210.00270060324434
36,36,2021-12-16,0.0,177.97044789357005,102.03524305555555,184.09906976744205,51303525,808841,66316122,306197.0,5.181617513438899,4.625318273758435,5.2379897880427855,17.75327002123063,13.603357637787362,18.0099435930165,12.631983964639762,222.72371525799684
37,37,2021-12-17,0.0,211.33897560975612,108.5697222222222,190.8740787119856,51547217,810927,67429820,274192.0,5.353463363881596,4.687392567727291,5.404888187058456,17.758008780548973,13.60593331671574,18.026597911272233,12.521583869900631,265.1432192327498
38,38,2021-12-18,1.0,199.33019068736135,95.45749999999998,195.3830948121648,51812432,814211,68292527,234710.0,5.294962699375772,4.558681122255136,5.392569416393619,17.76314067843432,13.60997482515381,18.03931090420637,12.366105988515587,261.75428817735707
39,39,2021-12-19,1.0,155.9150421286033,80.51701388888893,143.12352415026817,51996357,815213,68502126,173690.0,5.049311257160424,4.388468514749697,5.033580755406407,17.766684216399238,13.61120470777037,18.042375339247183,12.065027380048058,179.86926826730635
40,40,2021-12-20,0.0,176.703977827051,95.08013888888895,78.29626118067978,52054705,815312,68505090,94369.0,5.1744758908269395,4.554720103249119,5.20625346821627,17.76780574279204,13.61132614105121,18.0424186070412,11.454967908371335,215.45820330058675
41,41,2021-12-21,0.0,178.77409756097578,92.7484375,131.82479427549194,52244419,815391,68755338,110927.0,5.186122984017794,4.5298908549844565,5.215474035360661,17.771443629707107,13.611423031778783,18.046064935133206,11.616627606285155,217.54443334861
42,42,2021-12-22,0.0,188.4979955654104,91.08090277777782,166.0615742397139,52787959,817134,69605932,154536.0,5.239087373226279,4.51174815306756,5.251613936870884,17.781793673426883,13.613558375081084,18.058360351557845,11.948182357886129,225.91710061337696
43,43,2021-12-23,0.0,194.7651219512196,88.60517361111113,173.22996422182473,53168671,819630,70557723,175586.0,5.271794329752939,4.484190248808168,5.274962220063338,17.788979889870035,13.616608297898084,18.071941698733944,12.075884230353335,231.4961114484097
44,44,2021-12-24,0.0,137.66741019955668,67.10763888888889,176.08976744186052,53657735,821731,71493104,193003.0,4.924840705243641,4.2062978808495215,4.9637080626414924,17.79813619185843,13.619168369871879,18.085111555460426,12.170461011807665,167.18948929622366
45,45,2021-12-25,1.0,101.28980931263844,47.61427083333333,184.1420930232557,54242790,823141,72344520,198899.0,4.617985807108706,3.863132523727079,4.360499851929232,17.80898063832662,13.620882789407696,18.096950265256748,12.200552437177338,88.80867691099762
46,46,2021-12-26,1.0,170.00522838137465,74.61642361111119,193.16500894454396,54689357,824336,72675963,165832.0,5.1358291917618875,4.3123606386239395,4.881473724827354,17.817179678077025,13.622333492767535,18.101521255095417,12.018730506679347,153.40062905817737
47,47,2021-12-27,0.0,187.4317117516628,88.52927083333336,128.57021466905184,54850417,824609,72722826,101347.0,5.233414575080952,4.483333241209657,5.112358648734235,17.82012034720903,13.622664613578106,18.102165868464553,11.526305551047374,195.31538936024322
